CustomerID,Age,Gender,Tenure_Months,Contract_Type,Monthly_Charges,Total_Charges,Num_Products,Support_Tickets,Satisfaction_Score,Payment_Method,Internet_Service,Region,Churn
CUST-2425,57.0,Male,27.0,Month-to-Month,41.82,1125.0,1.0,1.0,4.0,Mailed Check,Fiber Optic,South,Yes
CUST-1175,102.0,female,7.0,Month-to-Month,89.25,590.14,,6.0,5.0,Mailed Check,fiber optic,West,Yes
CUST-1220,54.0,Male,25.0,Two Year,23.9,565.99,4.0,5.0,5.0,Credit Card,fiber optic,,No
CUST-1654,,male,43.0,month-to-month,44.04,1971.66,2.0,8.0,2.0,,,East,No
CUST-2388,29.0,M,9.0,Two Year,52.82,446.12,1.0,14.0,1.0,Bank Transfer,,,No
CUST-1381,39.0,Female,33.0,One Year,55.78,1897.83,2.0,5.0,5.0,Mailed Check,DSL,South,No
CUST-2043,,male,49.0,Two Year,61.58,2923.58,3.0,8.0,4.0,Bank Transfer,,West,No
CUST-1275,39.0,M,3.0,month-to-month,110.95,241.55,2.0,12.0,,Bank Transfer,,East,No
CUST-2263,54.0,M,24.0,Two Year,47.53,,,13.0,4.0,Mailed Check,fiber optic,East,Yes
CUST-2063,34.0,Male,11.0,One Year,40.43,463.71,1.0,9.0,3.0,Mailed Check,fiber optic,West,No
CUST-2105,56.0,F,59.0,Month-to-Month,,4444.98,5.0,2.0,5.0,Electronic Check,Fiber Optic,East,No
CUST-1124,52.0,female,69.0,One Year,,6295.78,3.0,2.0,3.0,Mailed Check,DSL,North,No
CUST-1298,56.0,F,70.0,Month-to-Month,69.23,4892.0,1.0,10.0,,,fiber optic,West,No
CUST-1591,36.0,Male,11.0,Two Year,115.14,1346.5,2.0,6.0,1.0,Mailed Check,DSL,South,No
CUST-2137,23.0,F,,month-to-month,109.04,4745.96,3.0,5.0,5.0,Mailed Check,,,No
CUST-2401,26.0,Male,40.0,Month-to-Month,57.22,2280.35,1.0,4.0,3.0,,No,South,No
CUST-1985,68.0,F,50.0,Two Year,50.98,2577.57,5.0,5.0,4.0,Bank Transfer,,South,Yes
CUST-2426,32.0,Female,69.0,month-to-month,107.41,7412.16,2.0,9.0,2.0,Credit Card,fiber optic,West,Yes
CUST-1808,28.0,Female,2.0,Two Year,103.28,123.79,4.0,14.0,,,DSL,East,No
CUST-1561,46.0,Female,21.0,Month-to-Month,90.77,1912.72,2.0,11.0,2.0,Electronic Check,fiber optic,South,No
CUST-1065,25.0,female,53.0,One Year,109.25,5815.57,2.0,10.0,1.0,,fiber optic,South,No
CUST-1141,54.0,M,3.0,month-to-month,32.1,78.82,2.0,9.0,4.0,Electronic Check,,South,No
CUST-1781,45.0,Male,37.0,Month-to-Month,90.37,3383.35,3.0,4.0,1.0,Electronic Check,DSL,South,No
CUST-1394,47.0,M,29.0,Two Year,100.4,2888.62,3.0,10.0,4.0,Credit Card,No,West,No
CUST-1274,,Female,17.0,One Year,116.4,1964.79,2.0,12.0,1.0,Credit Card,No,West,No
CUST-2096,55.0,Female,32.0,month-to-month,74.18,2368.76,2.0,6.0,5.0,Bank Transfer,No,North,No
CUST-1629,,F,53.0,Two Year,92.89,5045.25,4.0,13.0,3.0,Credit Card,DSL,,No
CUST-1755,65.0,Male,63.0,One Year,91.43,5850.42,4.0,5.0,5.0,Electronic Check,fiber optic,,No
CUST-1353,46.0,M,30.0,Two Year,54.88,1660.76,1.0,7.0,5.0,,No,North,No
CUST-1162,32.0,F,59.0,Month-to-Month,34.21,,4.0,10.0,1.0,Bank Transfer,DSL,West,No
CUST-2300,57.0,M,,Month-to-Month,108.61,5197.26,5.0,6.0,4.0,Bank Transfer,DSL,East,No
CUST-1184,49.0,M,31.0,One Year,105.76,3300.74,5.0,11.0,3.0,,DSL,East,No
CUST-2252,51.0,F,64.0,Two Year,25.33,1601.47,4.0,3.0,4.0,Credit Card,,West,No
CUST-2216,50.0,Male,31.0,Month-to-Month,56.04,1743.22,4.0,12.0,1.0,Mailed Check,fiber optic,South,Yes
CUST-1203,,Female,42.0,month-to-month,54.06,2244.52,5.0,7.0,2.0,Mailed Check,No,South,No
CUST-1514,57.0,Female,55.0,Two Year,71.8,4006.07,5.0,14.0,4.0,Bank Transfer,No,South,No
CUST-1782,,M,68.0,One Year,117.03,8007.87,2.0,6.0,2.0,,fiber optic,South,No
CUST-1615,60.0,Male,2.0,Month-to-Month,86.66,186.5,3.0,9.0,4.0,Mailed Check,Fiber Optic,,No
CUST-2409,28.0,male,19.0,Month-to-Month,102.57,1859.43,1.0,3.0,4.0,Electronic Check,fiber optic,North,No
CUST-2116,42.0,Male,47.0,One Year,20.84,965.66,1.0,10.0,1.0,Credit Card,Fiber Optic,West,Yes
CUST-1261,23.0,M,3.0,month-to-month,68.89,255.32,5.0,8.0,2.0,,fiber optic,East,No
CUST-1554,29.0,female,39.0,Month-to-Month,87.41,3514.17,5.0,10.0,,Credit Card,,South,Yes
CUST-1023,47.0,M,65.0,month-to-month,90.37,5898.29,5.0,1.0,5.0,Electronic Check,DSL,North,No
CUST-2283,31.0,F,16.0,Two Year,35.37,547.36,3.0,0.0,1.0,Bank Transfer,,East,No
CUST-2474,37.0,M,70.0,month-to-month,,1763.24,4.0,0.0,3.0,,Fiber Optic,,No
CUST-1049,26.0,F,29.0,Month-to-Month,26.36,671.91,5.0,8.0,3.0,Bank Transfer,fiber optic,South,Yes
CUST-1306,67.0,male,62.0,month-to-month,115.6,7220.84,5.0,12.0,1.0,Bank Transfer,,South,Yes
CUST-1099,35.0,F,45.0,Month-to-Month,41.91,1882.72,3.0,1.0,4.0,Electronic Check,DSL,South,No
CUST-2091,63.0,M,13.0,month-to-month,,1418.83,4.0,13.0,1.0,Bank Transfer,Fiber Optic,North,No
CUST-2357,48.0,M,26.0,One Year,34.41,794.95,1.0,9.0,2.0,Bank Transfer,fiber optic,East,No
CUST-2457,24.0,Female,57.0,Month-to-Month,23.05,1309.81,4.0,5.0,4.0,Credit Card,fiber optic,South,No
CUST-1428,50.0,F,,Month-to-Month,116.41,992.47,5.0,10.0,5.0,Mailed Check,,South,No
CUST-1693,53.0,M,21.0,One Year,53.22,1032.99,4.0,5.0,3.0,Electronic Check,fiber optic,East,No
CUST-1829,74.0,M,70.0,month-to-month,114.44,7936.32,2.0,0.0,5.0,,No,,No
CUST-1493,23.0,female,41.0,month-to-month,73.09,2972.05,1.0,2.0,,Electronic Check,Fiber Optic,,Yes
CUST-1984,59.0,Female,38.0,One Year,48.92,1866.94,5.0,3.0,,Bank Transfer,,South,Yes
CUST-1168,49.0,Male,16.0,month-to-month,24.37,507.43,2.0,9.0,3.0,Credit Card,,,No
CUST-2373,40.0,M,39.0,month-to-month,51.39,2038.37,3.0,9.0,4.0,,DSL,South,Yes
CUST-1535,18.0,Female,49.0,Month-to-Month,,1252.71,3.0,0.0,2.0,Credit Card,,North,No
CUST-1374,34.0,Female,47.0,Month-to-Month,110.61,5252.12,5.0,3.0,4.0,,DSL,West,No
CUST-2178,23.0,Male,4.0,One Year,97.8,395.19,1.0,9.0,5.0,Bank Transfer,DSL,South,No
CUST-1566,66.0,M,44.0,Month-to-Month,64.77,2794.2,4.0,0.0,1.0,Mailed Check,No,,No
CUST-1636,43.0,Male,43.0,Month-to-Month,48.89,2102.18,1.0,10.0,,Mailed Check,fiber optic,South,No
CUST-2132,61.0,M,27.0,One Year,87.12,,4.0,10.0,3.0,Bank Transfer,No,,Yes
CUST-1680,42.0,Female,68.0,month-to-month,40.47,2784.43,3.0,1.0,,Mailed Check,Fiber Optic,East,No
CUST-1239,20.0,Female,12.0,Month-to-Month,58.55,643.3,3.0,3.0,5.0,Credit Card,,West,No
CUST-1051,35.0,female,2.0,Month-to-Month,79.9,78.56,5.0,4.0,3.0,Bank Transfer,Fiber Optic,West,No
CUST-1070,53.0,M,14.0,One Year,90.26,1271.09,1.0,1.0,5.0,Electronic Check,fiber optic,,No
CUST-1626,30.0,F,51.0,month-to-month,42.21,2185.56,5.0,2.0,4.0,Credit Card,DSL,East,No
CUST-1076,71.0,male,,Two Year,85.22,337.58,3.0,0.0,1.0,Bank Transfer,No,West,No
CUST-1864,63.0,F,30.0,One Year,29.21,823.48,2.0,7.0,4.0,,fiber optic,West,No
CUST-1607,37.0,Male,37.0,month-to-month,72.15,2655.37,5.0,3.0,2.0,Credit Card,,South,No
CUST-1861,65.0,female,47.0,month-to-month,27.56,1341.12,5.0,14.0,,Electronic Check,Fiber Optic,East,Yes
CUST-1173,21.0,male,7.0,Month-to-Month,85.23,592.33,,8.0,2.0,,DSL,East,No
CUST-1411,70.0,female,58.0,One Year,90.7,5206.63,2.0,13.0,3.0,Credit Card,Fiber Optic,North,No
CUST-2085,73.0,female,62.0,One Year,105.5,6498.06,5.0,10.0,3.0,Credit Card,DSL,North,No
CUST-1135,51.0,male,61.0,Month-to-Month,80.38,4813.83,1.0,9.0,4.0,Credit Card,No,,No
CUST-2172,19.0,female,53.0,One Year,89.46,4723.19,5.0,10.0,5.0,Mailed Check,,,No
CUST-2235,28.0,M,70.0,Month-to-Month,95.67,6752.15,4.0,10.0,2.0,Bank Transfer,Fiber Optic,North,No
CUST-1342,66.0,Male,12.0,Two Year,96.89,1156.9,3.0,7.0,2.0,Bank Transfer,Fiber Optic,South,No
CUST-2083,43.0,male,68.0,Month-to-Month,65.13,4469.83,4.0,10.0,2.0,Credit Card,Fiber Optic,North,Yes
CUST-1383,47.0,F,32.0,One Year,,1013.33,2.0,3.0,3.0,Credit Card,fiber optic,West,No
CUST-1748,19.0,M,49.0,month-to-month,30.25,1502.35,4.0,5.0,3.0,,Fiber Optic,,No
CUST-1780,67.0,female,,One Year,,480.37,4.0,13.0,,,Fiber Optic,West,No
CUST-1122,25.0,M,24.0,Two Year,61.1,1475.39,5.0,2.0,1.0,Bank Transfer,Fiber Optic,West,No
CUST-1123,52.0,male,22.0,Two Year,110.76,2461.09,,12.0,3.0,Mailed Check,DSL,,No
CUST-1706,33.0,F,48.0,Month-to-Month,61.66,2960.79,2.0,13.0,1.0,Mailed Check,Fiber Optic,West,No
CUST-1923,26.0,female,35.0,One Year,47.08,1630.94,1.0,9.0,3.0,Mailed Check,Fiber Optic,,No
CUST-1482,19.0,Female,38.0,One Year,71.59,2780.54,3.0,0.0,3.0,Bank Transfer,DSL,,No
CUST-1970,35.0,Male,56.0,One Year,30.54,1725.11,2.0,2.0,3.0,Bank Transfer,,North,No
CUST-2487,47.0,Female,57.0,month-to-month,87.74,5093.6,2.0,1.0,4.0,Credit Card,fiber optic,North,No
CUST-1724,31.0,F,23.0,One Year,91.26,2084.38,4.0,13.0,1.0,Credit Card,No,South,No
CUST-1678,30.0,Male,,month-to-month,67.63,903.17,1.0,4.0,4.0,,Fiber Optic,South,No
CUST-2032,38.0,Male,60.0,Two Year,42.24,2539.25,4.0,3.0,5.0,Mailed Check,fiber optic,North,No
CUST-1497,54.0,F,62.0,month-to-month,116.35,7237.33,3.0,13.0,,Electronic Check,Fiber Optic,South,No
CUST-1862,,male,55.0,Two Year,115.14,6296.59,1.0,9.0,5.0,Credit Card,fiber optic,South,No
CUST-1067,52.0,M,24.0,month-to-month,80.71,1891.44,,13.0,4.0,Mailed Check,,,No
CUST-1999,23.0,F,10.0,One Year,114.11,1222.16,1.0,8.0,3.0,Electronic Check,,,No
CUST-1029,39.0,male,51.0,Month-to-Month,50.13,2597.43,2.0,2.0,5.0,Electronic Check,,South,No
CUST-2440,42.0,M,44.0,Two Year,,1149.39,1.0,9.0,5.0,Electronic Check,DSL,West,Yes
CUST-2101,72.0,Female,40.0,One Year,57.55,2271.5,5.0,12.0,,,,,No
CUST-1932,57.0,female,14.0,Two Year,103.85,1524.41,1.0,67.0,5.0,Electronic Check,fiber optic,South,Yes
CUST-1700,45.0,female,11.0,month-to-month,48.25,525.98,2.0,8.0,2.0,Bank Transfer,,South,Yes
CUST-1772,44.0,M,9.0,Two Year,69.63,577.75,5.0,9.0,1.0,Electronic Check,DSL,West,No
CUST-2170,48.0,F,14.0,Month-to-Month,46.95,636.93,3.0,3.0,4.0,Mailed Check,fiber optic,East,No
CUST-2284,49.0,M,54.0,One Year,77.26,,5.0,12.0,2.0,Credit Card,fiber optic,,No
CUST-1576,38.0,male,2.0,Month-to-Month,65.97,162.98,5.0,5.0,4.0,Credit Card,Fiber Optic,East,Yes
CUST-2111,61.0,female,46.0,month-to-month,56.96,2592.56,1.0,12.0,,Mailed Check,,North,No
CUST-1813,37.0,Female,67.0,Two Year,74.89,4934.02,2.0,10.0,,Bank Transfer,fiber optic,South,No
CUST-1485,,Male,44.0,Two Year,21.47,903.12,2.0,0.0,2.0,Mailed Check,DSL,North,No
CUST-1730,60.0,Male,15.0,Month-to-Month,118.49,1749.1,4.0,12.0,5.0,,DSL,North,No
CUST-1420,70.0,M,12.0,One Year,47.04,594.42,1.0,1.0,4.0,Mailed Check,,West,No
CUST-1922,31.0,male,2.0,month-to-month,41.44,68.97,2.0,8.0,4.0,Bank Transfer,fiber optic,North,No
CUST-1366,31.0,male,22.0,One Year,27.29,671.29,1.0,6.0,3.0,Credit Card,,North,No
CUST-2103,45.0,female,55.0,month-to-month,63.35,3485.69,3.0,6.0,4.0,,DSL,North,No
CUST-1415,54.0,male,61.0,Two Year,44.68,2789.81,3.0,8.0,1.0,,DSL,West,Yes
CUST-2347,46.0,male,59.0,Two Year,106.47,6219.42,1.0,9.0,4.0,Bank Transfer,,South,No
CUST-1350,42.0,male,64.0,month-to-month,60.75,3789.5,3.0,8.0,3.0,,fiber optic,,Yes
CUST-2325,124.0,Female,61.0,Two Year,46.86,2926.77,2.0,0.0,3.0,Credit Card,,West,No
CUST-1820,32.0,Female,19.0,Month-to-Month,60.45,1172.49,2.0,12.0,2.0,Mailed Check,,South,No
CUST-1906,34.0,M,49.0,Two Year,63.4,3172.34,1.0,3.0,4.0,,DSL,South,No
CUST-1199,37.0,Female,16.0,month-to-month,35.45,541.84,5.0,0.0,4.0,Mailed Check,,South,No
CUST-2455,41.0,female,47.0,One Year,102.76,4882.42,2.0,5.0,3.0,Mailed Check,No,West,No
CUST-2479,39.0,Male,4.0,Month-to-Month,37.35,215.45,5.0,61.0,,Mailed Check,fiber optic,East,No
CUST-1950,47.0,F,13.0,month-to-month,86.65,1176.62,1.0,0.0,1.0,Mailed Check,Fiber Optic,West,No
CUST-2245,61.0,female,51.0,Month-to-Month,41.16,2162.28,3.0,8.0,4.0,Mailed Check,,South,Yes
CUST-1754,25.0,Female,71.0,month-to-month,89.72,6359.93,1.0,1.0,1.0,Bank Transfer,DSL,North,No
CUST-2103,45.0,female,55.0,month-to-month,63.35,3485.69,3.0,6.0,4.0,,DSL,North,No
CUST-2179,,male,4.0,month-to-month,96.09,,1.0,7.0,5.0,Mailed Check,No,North,Yes
CUST-1744,59.0,female,36.0,Two Year,80.16,2945.91,3.0,1.0,5.0,Mailed Check,DSL,North,No
CUST-1513,72.0,male,19.0,Two Year,97.31,1909.31,5.0,7.0,1.0,Electronic Check,,North,Yes
CUST-2175,28.0,Female,70.0,month-to-month,46.46,3226.95,3.0,12.0,1.0,Electronic Check,fiber optic,West,No
CUST-2456,42.0,M,58.0,Two Year,37.07,2101.58,1.0,11.0,2.0,Electronic Check,No,West,No
CUST-1534,70.0,Female,7.0,month-to-month,67.38,410.84,1.0,12.0,4.0,Mailed Check,No,South,No
CUST-1240,66.0,female,59.0,Month-to-Month,54.04,3218.78,2.0,7.0,5.0,Mailed Check,Fiber Optic,North,No
CUST-1044,20.0,male,33.0,One Year,23.47,732.7,1.0,13.0,3.0,Credit Card,Fiber Optic,North,No
CUST-2423,,Female,28.0,Two Year,87.28,2557.75,2.0,6.0,2.0,Credit Card,DSL,South,No
CUST-1247,19.0,M,63.0,month-to-month,64.04,3991.27,2.0,13.0,1.0,Credit Card,fiber optic,South,No
CUST-2372,25.0,F,6.0,Two Year,106.22,,,8.0,2.0,Bank Transfer,fiber optic,South,Yes
CUST-2160,72.0,Female,46.0,month-to-month,58.28,2672.72,,6.0,4.0,,No,West,No
CUST-1949,22.0,F,32.0,One Year,109.53,3464.6,3.0,2.0,5.0,Credit Card,,,No
CUST-2004,,Female,13.0,Two Year,70.31,,2.0,2.0,,,No,West,No
CUST-1490,66.0,female,9.0,One Year,61.36,580.22,5.0,4.0,5.0,Mailed Check,Fiber Optic,South,No
CUST-1115,18.0,F,40.0,month-to-month,69.35,2776.67,1.0,5.0,3.0,Mailed Check,Fiber Optic,East,No
CUST-1339,41.0,Male,39.0,One Year,94.05,3675.57,3.0,13.0,1.0,Electronic Check,DSL,North,Yes
CUST-1185,24.0,F,24.0,Month-to-Month,111.66,2622.25,2.0,12.0,2.0,Credit Card,,East,Yes
CUST-2204,29.0,Female,30.0,month-to-month,29.49,855.29,5.0,14.0,4.0,Mailed Check,DSL,West,No
CUST-2271,31.0,female,57.0,month-to-month,103.74,5960.01,3.0,2.0,1.0,Credit Card,DSL,North,No
CUST-1589,48.0,F,47.0,month-to-month,116.06,5508.72,3.0,14.0,5.0,Electronic Check,Fiber Optic,,No
CUST-2118,27.0,Female,21.0,month-to-month,86.17,1820.44,4.0,0.0,5.0,Bank Transfer,DSL,East,No
CUST-2196,43.0,M,4.0,Month-to-Month,,161.1,4.0,9.0,1.0,Electronic Check,No,East,No
CUST-1078,21.0,M,58.0,month-to-month,80.07,4622.52,2.0,7.0,4.0,Credit Card,Fiber Optic,South,No
CUST-1361,58.0,F,20.0,Two Year,27.69,538.78,1.0,8.0,2.0,Mailed Check,fiber optic,West,No
CUST-1412,,Female,38.0,month-to-month,,1040.08,3.0,3.0,1.0,Bank Transfer,DSL,North,No
CUST-1421,48.0,Female,,Two Year,104.27,1830.85,4.0,6.0,4.0,Bank Transfer,fiber optic,,No
CUST-1764,21.0,M,54.0,Two Year,54.53,2901.61,1.0,2.0,2.0,Bank Transfer,,West,No
CUST-1596,62.0,Female,1.0,Two Year,45.95,53.94,5.0,12.0,4.0,Bank Transfer,DSL,,No
CUST-1785,58.0,M,19.0,Month-to-Month,90.49,1704.16,2.0,2.0,5.0,Mailed Check,fiber optic,West,No
CUST-1015,57.0,female,32.0,Month-to-Month,21.8,657.63,2.0,0.0,5.0,Mailed Check,DSL,,No
CUST-2391,65.0,F,48.0,One Year,32.6,1561.44,1.0,8.0,3.0,Mailed Check,No,West,No
CUST-2197,71.0,F,14.0,month-to-month,110.1,1486.93,1.0,7.0,4.0,Credit Card,,South,No
CUST-1198,61.0,Female,33.0,Month-to-Month,54.59,1782.79,3.0,1.0,1.0,,,West,No
CUST-2219,73.0,F,48.0,month-to-month,51.28,2511.44,5.0,9.0,1.0,Mailed Check,No,,No
CUST-1324,,M,63.0,Month-to-Month,33.44,2187.83,5.0,1.0,1.0,Electronic Check,DSL,West,No
CUST-1548,56.0,Female,51.0,Month-to-Month,98.13,5010.96,2.0,1.0,,Bank Transfer,No,West,No
CUST-1309,47.0,F,56.0,month-to-month,105.4,5796.66,2.0,13.0,1.0,Credit Card,fiber optic,West,Yes
CUST-2491,36.0,Male,17.0,One Year,26.62,449.73,1.0,0.0,1.0,,,East,No
CUST-1429,20.0,Female,27.0,One Year,28.93,722.37,1.0,2.0,5.0,Electronic Check,DSL,East,No
CUST-1570,22.0,Female,69.0,Two Year,44.19,3054.63,2.0,14.0,4.0,,,,No
CUST-1348,52.0,Male,17.0,month-to-month,68.76,1227.17,1.0,14.0,3.0,Electronic Check,No,North,No
CUST-1413,52.0,Female,15.0,Two Year,103.93,1570.89,3.0,4.0,4.0,Electronic Check,,North,No
CUST-2446,35.0,female,21.0,Month-to-Month,66.63,1392.98,1.0,0.0,4.0,Bank Transfer,Fiber Optic,South,No
CUST-1259,43.0,F,57.0,One Year,64.4,3613.5,5.0,3.0,5.0,Credit Card,Fiber Optic,,No
CUST-1367,38.0,female,17.0,One Year,60.29,945.49,3.0,4.0,3.0,Mailed Check,No,West,No
CUST-1844,43.0,Female,67.0,Two Year,117.07,7856.1,2.0,9.0,1.0,Electronic Check,DSL,West,Yes
CUST-1952,74.0,M,20.0,One Year,65.43,1385.86,5.0,11.0,3.0,,fiber optic,,No
CUST-2400,,Male,27.0,month-to-month,75.27,2012.47,1.0,9.0,2.0,Credit Card,fiber optic,East,Yes
CUST-1944,67.0,M,25.0,Month-to-Month,112.08,2748.94,4.0,0.0,5.0,Bank Transfer,,East,Yes
CUST-1529,43.0,Female,28.0,Two Year,26.57,771.67,5.0,3.0,4.0,Mailed Check,fiber optic,West,No
CUST-1824,71.0,male,39.0,month-to-month,63.28,2461.92,1.0,0.0,2.0,Bank Transfer,fiber optic,,No
CUST-1056,26.0,Female,,One Year,102.93,1118.36,4.0,9.0,2.0,Mailed Check,fiber optic,East,No
CUST-1073,,F,66.0,Two Year,30.42,2111.76,4.0,1.0,5.0,Electronic Check,No,North,No
CUST-1916,54.0,Male,52.0,One Year,29.14,1445.18,3.0,12.0,2.0,Bank Transfer,Fiber Optic,North,Yes
CUST-1526,72.0,Male,56.0,Two Year,65.8,3739.95,1.0,7.0,4.0,Mailed Check,fiber optic,East,No
CUST-1966,51.0,M,2.0,Month-to-Month,70.26,177.72,1.0,11.0,2.0,,DSL,South,No
CUST-1382,63.0,Female,6.0,Two Year,84.78,469.07,2.0,13.0,4.0,Bank Transfer,No,South,No
CUST-1043,74.0,M,7.0,Month-to-Month,99.46,671.58,5.0,5.0,5.0,Credit Card,,East,No
CUST-1597,21.0,male,5.0,Two Year,63.7,300.19,2.0,6.0,2.0,Electronic Check,fiber optic,,No
CUST-1677,72.0,male,48.0,Two Year,98.04,4743.62,3.0,14.0,5.0,Credit Card,Fiber Optic,,No
CUST-2226,30.0,M,57.0,One Year,23.89,1369.43,5.0,5.0,2.0,Bank Transfer,No,South,No
CUST-2326,44.0,M,28.0,month-to-month,30.1,896.46,4.0,4.0,2.0,,,South,No
CUST-1101,70.0,Male,26.0,One Year,30.8,735.73,5.0,1.0,2.0,,fiber optic,West,No
CUST-1718,74.0,Female,43.0,month-to-month,86.3,3777.97,1.0,9.0,4.0,Electronic Check,fiber optic,,No
CUST-2084,31.0,M,41.0,Month-to-Month,38.34,1631.1,2.0,12.0,1.0,Credit Card,fiber optic,North,No
CUST-1107,46.0,Female,65.0,Month-to-Month,113.18,7347.36,4.0,13.0,3.0,Mailed Check,,North,Yes
CUST-2249,73.0,Female,46.0,Month-to-Month,100.44,4615.34,1.0,11.0,3.0,Bank Transfer,,North,Yes
CUST-2089,64.0,Male,12.0,One Year,58.78,693.74,3.0,7.0,2.0,Electronic Check,,North,No
CUST-1649,62.0,Male,5.0,One Year,98.75,,1.0,8.0,2.0,Mailed Check,Fiber Optic,South,Yes
CUST-2144,54.0,female,23.0,Two Year,77.88,1797.45,5.0,11.0,2.0,Credit Card,Fiber Optic,West,No
CUST-1331,65.0,Female,58.0,month-to-month,20.89,1199.64,1.0,0.0,5.0,,,South,No
CUST-1759,69.0,female,42.0,Month-to-Month,92.9,3885.09,,2.0,2.0,,fiber optic,East,No
CUST-1692,66.0,male,15.0,Month-to-Month,103.58,,4.0,1.0,5.0,Mailed Check,No,South,No
CUST-1752,55.0,F,13.0,Month-to-Month,113.29,1500.44,2.0,10.0,4.0,Bank Transfer,Fiber Optic,South,No
CUST-1908,48.0,M,38.0,Two Year,63.44,2470.58,1.0,6.0,4.0,Bank Transfer,Fiber Optic,South,No
CUST-1128,56.0,male,20.0,Month-to-Month,115.51,2330.37,2.0,12.0,1.0,Credit Card,DSL,North,Yes
CUST-1660,26.0,M,46.0,Month-to-Month,23.89,1067.47,1.0,4.0,3.0,Bank Transfer,No,,No
CUST-2006,28.0,M,45.0,Month-to-Month,105.88,4767.59,3.0,5.0,1.0,Credit Card,,South,No
CUST-2452,61.0,F,34.0,month-to-month,119.96,4053.62,1.0,7.0,4.0,Credit Card,Fiber Optic,East,No
CUST-1889,38.0,F,66.0,month-to-month,468.4727209878103,3969.22,3.0,5.0,4.0,,No,,No
CUST-2033,22.0,female,48.0,Two Year,,3444.95,,3.0,5.0,Mailed Check,fiber optic,South,No
CUST-1583,27.0,M,65.0,Month-to-Month,,1607.59,1.0,13.0,1.0,Credit Card,No,West,No
CUST-1297,57.0,female,18.0,Month-to-Month,71.13,1371.72,3.0,13.0,5.0,,DSL,,No
CUST-1316,74.0,Male,59.0,Month-to-Month,71.04,4195.15,3.0,0.0,,Mailed Check,DSL,South,No
CUST-1351,52.0,Male,35.0,month-to-month,60.71,2160.29,,3.0,,Electronic Check,Fiber Optic,East,No
CUST-1270,41.0,female,,Month-to-Month,23.95,1491.21,2.0,2.0,3.0,Bank Transfer,,,No
CUST-2225,19.0,male,47.0,Month-to-Month,96.23,4527.73,1.0,0.0,,,fiber optic,,Yes
CUST-1567,47.0,Female,14.0,One Year,33.43,556.53,1.0,14.0,5.0,Credit Card,DSL,,No
CUST-2047,66.0,M,69.0,One Year,90.21,6220.29,5.0,10.0,3.0,Bank Transfer,Fiber Optic,East,Yes
CUST-2382,35.0,Male,12.0,One Year,69.26,812.01,2.0,1.0,5.0,Credit Card,,East,No
CUST-2447,44.0,female,28.0,Month-to-Month,96.06,2649.43,2.0,14.0,3.0,Bank Transfer,fiber optic,,No
CUST-2265,47.0,male,70.0,Month-to-Month,83.59,5900.42,2.0,0.0,3.0,,fiber optic,West,No
